age,employment_type,employment_years,monthly_income,loan_amount,loan_tenure_months,existing_loans,monthly_debt_payment,post_loan_dti,credit_history_months,credit_utilization,repayment_consistency,previous_missed_payments,monthly_transactions,average_transaction_amount,ntc_flag,loan_burden,risk_score,probability_of_default,default
54,Salaried,25.3,63642,295154,48,3,50466.65260373264,0.7929771629385098,34,51.35796379328629,62.18580305732845,0,46,777.04,0,0.3864769596597635,4.296229339344542,0.153973436515406,1
40,Salaried,13.7,93608,819344,36,2,54038.433314899165,0.5772843487191176,5,43.68617312129545,79.41100217774097,0,24,2399.53,0,0.7294105916873201,3.7900964978416503,0.098864669881236,0
54,Salaried,22.2,84179,351852,36,0,11469.17650459312,0.1362474786418598,33,32.86829406280249,69.51303455378769,0,50,810.74,0,0.3483172762803074,1.8815472429812623,0.0160092036768181,0
35,Salaried,11.3,127405,1145537,48,1,49965.63607825909,0.3921795540069784,53,5.558132410547329,92.57170450563552,0,42,1796.57,0,0.7492752770037806,2.495247996100283,0.0291773238723689,0
43,Salaried,14.4,34133,337769,24,2,38216.233776036766,1.1196271577662895,78,28.549061329863456,91.22251803660856,0,40,457.38,0,0.8246394007753982,4.796857250561921,0.2309166107182098,1
60,Salaried,6.4,73767,547727,48,0,14664.534586080055,0.1987953229232591,49,42.68459462271417,82.94811391783944,0,39,1076.5,0,0.6187579360237866,2.4205700833785784,0.027134762472898,0
60,Salaried,32.4,41933,346678,60,0,7454.156966808869,0.1777635028929212,57,13.52043080111788,52.86121843588696,0,29,917.67,0,0.6889522174262117,2.4766070202965453,0.0286539084108587,0
21,Salaried,1.6,31699,245954,24,1,22526.86509660486,0.710649077150852,10,19.444932445763385,75.55639395680977,0,49,418.37,0,0.6465871688907115,3.760156062122927,0.0962291134333401,0
21,Salaried,2.5,34858,192296,36,1,18851.30578996418,0.5408028512813179,34,60.69791481969056,96.79712448668415,0,38,515.26,0,0.4597127393042247,3.270489517795387,0.0612543051327457,1
22,Contract,1.3,56670,485004,36,0,15945.731504017582,0.2813787101467722,0,0.0,88.19235941407902,0,36,921.89,1,0.7131992235750838,2.091049574591757,0.0196669957624161,0
